code,name_english,description_english,name_french,description_french
11,Management Occupations,,Professions de gestion,
13,Business and Financial Operations Occupations,,Professions des opérations commerciales et financières,
15,Computer and Mathematical Occupations,,Métiers de l'informatique et des mathématiques,
17,Architecture and Engineering Occupations,,Professions en architecture et en génie,
19,"Life, Physical, and Social Science Occupations",,"Professions de la vie, des sciences physiques et sociales",
21,Community and Social Service Occupations,,Professions des services communautaires et sociaux,
23,Legal Occupations,,Professions juridiques,
25,Educational Instruction and Library Occupations,,Enseignement et métiers de bibliothécaire,
27,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Arts, design, divertissement, sports et médias",
29,Healthcare Practitioners and Technical Occupations,,Professionnels de la santé et professions techniques,
31,Healthcare Support Occupations,,Professions de soutien aux soins de santé,
33,Protective Service Occupations,,Professions des services de protection,
35,Food Preparation and Serving Related Occupations,,Préparation des aliments et services professions connexes,
37,Building and Grounds Cleaning and Maintenance Occupations,,Travaux de nettoyage et d'entretien des bâtiments et des terrains,
39,Personal Care and Service Occupations,,Professions des soins personnels et des services,
41,Sales and Related Occupations,,Ventes et professions connexes,
43,Office and Administrative Support Occupations,,Professions de bureau et de soutien administratif,
45,"Farming, Fishing, and Forestry Occupations",,"Professions agricoles, de pêche et forestières",
47,Construction and Extraction Occupations,,Professions de la construction et de l'extraction,
49,"Installation, Maintenance, and Repair Occupations",,"Travaux d'installation, d'entretien et de réparation",
51,Production Occupations,,Professions de la production,
53,Transportation and Material Moving Occupations,,Professions du transport et du déménagement de matériel,
55,Military Specific Occupations,,Professions militaires spécifiques,
11-1,Top Executives,,Cadres supérieurs,
11-101,Chief Executives,,Chefs,
11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Chefs,"Déterminer et formuler des politiques et fournir une orientation générale aux entreprises ou aux organisations des secteurs privé et public dans le respect des lignes directrices établies par un conseil d'administration ou un organe directeur similaire. Planifier, diriger ou coordonner les activités opérationnelles au plus haut niveau de la direction avec l'aide de cadres subordonnés et de gestionnaires du personnel."
11-102,General and Operations Managers,,Directeurs généraux et des opérations,
11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Directeurs généraux et des opérations,"Planifier, diriger ou coordonner les opérations des organisations des secteurs public ou privé, en supervisant plusieurs ministères ou emplacements. Les tâches et les responsabilités comprennent la formulation de politiques, la gestion des opérations quotidiennes et la planification de l'utilisation du matériel et des ressources humaines, mais elles sont trop diverses et de nature générale pour être classées dans un domaine fonctionnel de la gestion ou de l'administration, comme le personnel, les achats ou les services administratifs. Gérez généralement par l'intermédiaire de superviseurs subordonnés. Exclut les superviseurs de première ligne."
11-103,Legislators,,Législateurs,
11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Législateurs,"Élaborer, introduire ou promulguer des lois et des statuts au niveau local, tribal, étatique ou fédéral. Ne comprend que les travailleurs occupant des postes élus."
11-2,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",,"Directeurs de la publicité, du marketing, des promotions, des relations publiques et des ventes",
11-201,Advertising and Promotions Managers,,Responsables de la publicité et des promotions,
11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Responsables de la publicité et des promotions,"Planifier, diriger ou coordonner des politiques et des programmes publicitaires ou produire des documents collatéraux, tels que des affiches, des concours, des coupons ou des cadeaux, afin de créer un intérêt supplémentaire pour l'achat d'un produit ou d'un service pour un département, une organisation entière ou sur une base de compte."
11-202,Marketing and Sales Managers,,Directeurs du marketing et des ventes,
