code,name_english,name_french
11-1011,Admiral,Amiral
11-1011,Chief Financial Officer,Chef de la direction financière
11-1011,Chief Operating Officer,Chef de l'exploitation
11-1011,Governor,Gouverneur
11-1011,School Superintendent,Surintendant d'école
11-1011,University President,Président de l'université
11-1021,Department Store Manager,Directeur de grand magasin
11-1021,General Superintendent,Surintendant général
11-1021,Operational Risk Manager,Gestionnaire des risques opérationnels
11-1021,Radio Station Manager,Gestionnaire de station de radio
11-1031,City Council Member,Membre du conseil municipal
11-1031,Senator,Sénateur
11-1031,Tribal Council Member,Membre du conseil tribal
11-2011,Advertising Director,Directeur de la publicité
11-2011,Advertising Executive,Directeur de la publicité
11-2011,Promotions Director,Directeur des promotions
11-2021,Internet Marketing Manager,Responsable marketing Internet
11-2021,Marketing Administrator,Administrateur marketing
11-2021,Marketing Director,Directeur Marketing
11-2022,District Sales Manager,Directeur des ventes de district
11-2022,Export Manager,Gestionnaire d'exportation
11-2022,Regional Sales Manager,Directeur régional des ventes
11-2022,Sales Director,Directeur des ventes
11-2032,Public Affairs Director,Directeur des affaires publiques
11-2032,Publicity Director,Directeur de la publicité
11-2033,Donor Relations Manager,Gestionnaire des relations avec les donateurs
11-2033,Foundation Director,Directeur de la Fondation
11-2033,Funding Coordinator,Coordonnatrice du financement
11-2033,Fundraising Director,Directeur de la collecte de fonds
11-3012,Records and Information Manager,Gestionnaire d'enregistrements et d'informations
11-3012,Records Management Director,Directeur de la gestion des documents
11-3012,University Registrar,Registraire de l'Université
11-3013,Conference Center Manager,Responsable du centre de conférence
11-3013,Director of University Housing,Directeur du logement universitaire
11-3013,Stadium Manager,Directeur du stade
11-3021,Chief Technology Officer,Directeur de la technologie
11-3021,Information Technology Systems Director,Directeur des systèmes de technologie de l'information
11-3021,Management Information Systems Director,Directeur des systèmes d'information de gestion
11-3031,Bank Branch Manager,Directeur de succursale bancaire
11-3031,Comptroller,Contrôleur
11-3031,Financial Director,Directeur financier
11-3051,Manufacturing Director,Directeur de fabrication
11-3051,Plant Manager,Directeur d'usine
11-3051,Production Control Manager,Responsable du contrôle de la production
11-3061,Contracting Manager,Gestionnaire des contrats
11-3061,Procurement Manager,Gestionnaire des achats
11-3061,Purchasing Director,Directeur des achats
11-3071,Distribution Center Manager,Responsable du centre de distribution
11-3071,Traffic Safety Administrator,Administrateur de la sécurité routière
11-3071,Warehouse Manager,Gestionnaire d'entrepôt
11-3111,Compensation Director,Directeur de la rémunération
11-3111,Employee Benefits Director,Directeur des avantages sociaux
11-3111,Wage and Salary Administrator,Administrateur des salaires et traitements
11-3121,Job Analysis Manager,Gestionnaire d'analyse des emplois
11-3121,Labor Relations Director,Directeur des relations de travail
11-3121,Personnel Manager,Gestionnaire du personnel
11-3121,Position Description Manager,Gestionnaire de description de poste
11-3131,E-Learning Manager,Responsable de l'apprentissage en ligne
11-3131,Employee Development Director,Directeur du développement des employés
11-3131,Labor Training Manager,Responsable de la formation de la main-d'œuvre
11-9013,Animal Husbandry Manager,Responsable de l'élevage
11-9013,Dairy Farm Manager,Gestionnaire de ferme laitière
11-9013,Fish Hatchery Manager,Gestionnaire d'écloserie de poissons
11-9013,Orchard Manager,Gestionnaire de verger
11-9021,Construction Coordinator,Coordonnatrice de la construction
11-9021,Construction Superintendent,Surintendant de la construction
11-9021,General Contractor,Entrepreneur général
11-9031,Childcare Center Administrator,Administrateur de la garderie
11-9031,Head Start Director,Directeur du Programme d'aide préscolaire
11-9031,Preschool Director,Directeur préscolaire
11-9032,Elementary School Principal,Directeur d'école primaire
11-9032,High School Principal,Directeur d'école secondaire
11-9032,Middle School Principal,Directeur d'école intermédiaire
11-9033,Director of Student Services,Directeur des services aux étudiants
11-9033,Provost,Prévôt
11-9033,University Dean,Doyen de l'Université
11-9033,University Department Chair,Directeur du département universitaire
11-9041,Engineering Design Manager,Responsable de la conception technique
11-9041,Global Engineering Manager,Responsable de l'ingénierie mondiale
11-9041,Mechanical Engineering Director,Directeur du génie mécanique
11-9051,Banquet Director,Directeur de banquet
11-9051,Food Service Director,Directeur des services alimentaires
11-9051,Tavern Operator,Opérateur de taverne
11-9071,Casino Manager,Gestionnaire de casino
11-9071,Slot Operations Director,Directeur des opérations des machines à sous
11-9071,Table Games Manager,Gestionnaire de jeux de table
11-9072,Amusement Park Manager,Gestionnaire de parc d'attractions
11-9072,Fitness Club Manager,Gestionnaire de club de fitness
11-9072,Marina Club Manager,Gestionnaire du Marina Club
11-9072,Skating Rink Manager,Gestionnaire de patinoire
11-9072,Ski Resort Manager,Gestionnaire de la station de ski
11-9081,Bed and Breakfast Innkeeper,B&B / Chambre d'hôtes Innkeeper
11-9081,Hotel Manager,Directeur de l'hôtel
11-9081,Innkeeper,Aubergiste
11-9111,Chief Medical Information Officer,Dirigeant principal de l'information médicale
11-9111,Clinic Director,Directeur de clinique
11-9111,Clinical Informatics Director,Directeur de l'informatique clinique
11-9111,Health Information Services Manager,Gestionnaire des services d'information sur la santé
11-9111,Hospital Administrator,Administrateur de l'hôpital
11-9111,Medical Records Administrator,Administrateur des dossiers médicaux
11-9111,Mental Health Program Manager,Gestionnaire de programme en santé mentale
11-9121,Agricultural Research Director,Directeur de la recherche agricole
11-9121,Geophysical Manager,Gestionnaire géophysique
11-9121,Ocean Program Administrator,Administrateur du programme Océan
11-9131,Postal Supervisor,Superviseur des postes
11-9131,Postmaster,Postmaster
11-9141,Apartment Manager,Gestionnaire d'appartement
11-9141,Building Rental Manager,Gestionnaire de location d'immeuble
11-9141,Leasing Property Manager,Gestionnaire immobilier de location
11-9151,Child Welfare Director,Directeur du bien-être de l'enfance
11-9151,Family Service Center Director,Directeur du centre de services à la famille
11-9151,Youth Program Director,Directeur du programme Jeunesse
11-9161,Disaster Response Director,Directeur des interventions en cas de catastrophe
11-9161,Emergency Preparedness Coordinator,Coordonnatrice de la préparation aux situations d'urgence
11-9161,Public Safety Director,Directeur de la sécurité publique
11-9171,Funeral Home Director,Directeur de la maison funéraire
11-9179,Day Spa Director,Directeur du spa de jour
11-9179,Nail Salon Manager,Responsable de salon de manucure
11-9179,Travel Agency Manager,Responsable d'agence de voyages
11-9199,Clerk of Court,Greffier du tribunal
11-9199,Social Science Manager,Gestionnaire des sciences sociales
11-9199,Utilities Manager,Gestionnaire des utilitaires
13-1011,Band Manager,Gestionnaire de bande
13-1011,Literary Agent,Agent littéraire
13-1011,Theatrical Agent,Agent théâtral
13-1021,Cotton Broker,Courtier en coton
13-1021,Fruit Buyer,Acheteur de fruits
13-1021,Livestock Buyer,Acheteur de bétail
13-1022,Gold Buyer,Acheteur d'or
13-1022,Merchandise Buyer,Acheteur de marchandise
13-1023,Equipment,Équipement
13-1023,Supplies,Ravitaillement
13-1023,and Tools Purchasing Agent,et Agent d'achat d'outils
13-1023,Radio Time Buyer,Acheteur de temps radio
13-1031,Fire Claims Adjuster,Expert en sinistres d'incendie
13-1031,Health Insurance Adjuster,Expert en assurance maladie
13-1031,Property and Casualty Insurance Claims Examiner,Examinateur de réclamations d'assurance de dommages
13-1032,Automobile Damage Appraiser,Évaluateur de dommages automobiles
13-1032,Vehicle Damage Appraiser,Évaluateur des dommages au véhicule
13-1041,Driver's License Examiner,Examinateur de permis de conduire
13-1041,Environmental Compliance Inspector,Inspecteur de la conformité environnementale
13-1041,Equal Employment Opportunity Officer,Responsable de l'égalité des chances en matière d'emploi
13-1051,Construction Job Cost Estimator,Estimateur du coût des travaux de construction
13-1051,Crating and Moving Estimator,Estimateur de mise en caisse et de déplacement
13-1051,Production Cost Estimator,Estimateur des coûts de production
13-1071,Human Resources Generalist,Généraliste en ressources humaines
13-1071,Personnel Recruiter,Recruteur de personnel
13-1071,Staffing Coordinator,Coordonnatrice de la dotation
13-1071,Student Recruiter,Recruteur d'étudiants
13-1071,Volunteer Coordinator,Coordonnatrice des bénévoles
13-1074,Harvesting Contractor,Entrepreneur en récolte
13-1075,Employee Relations Specialist,Spécialiste des relations avec les employés
13-1075,Labor Relations Consultant,Consultante en relations de travail
13-1075,Union Representative,Représentant syndical
13-1081,Logistics Analyst,Analyste logistique
13-1081,Logistics Planner,Planificateur logistique
13-1081,Logistics Specialist,Spécialiste en logistique
13-1082,Design Project Management Specialists,Spécialistes de la gestion de projet de conception
13-1082,Movie Project Management Specialists,Spécialistes de la gestion de projets vidéo
13-1111,Business Management Analyst,Analyste en gestion d'entreprise
13-1111,Business Process Consultant,Consultant en processus d'affaires
13-1111,Industrial Analyst,Analyste industriel
13-1111,University Institutional Researcher,Chercheur institutionnel universitaire
13-1121,Conference Planner,Planificateur de conférence
13-1121,Corporate Meeting Planner,Planificateur de réunions d'entreprise
13-1121,Wedding Planner,Planificateur de mariage
13-1131,Campaign Fundraiser,Collecte de fonds de la campagne
13-1131,Donor Relations Officer,Agent des relations avec les donateurs
13-1131,Fundraising Officer,Agent de collecte de fonds
13-1141,Employee Benefits Specialist,Spécialiste des avantages sociaux
13-1141,Job Analyst,Analyste d'emploi
13-1141,Retirement Plan Specialist,Spécialiste des régimes de retraite
13-1151,Computer Software Training Specialist,Spécialiste de la formation en logiciels informatiques
13-1151,Computer Training Specialist,Spécialiste en formation informatique
13-1151,Corporate Trainer,Formateur d'entreprise
13-1151,Insurance Employee Trainer,Formateur d'employés en assurance
13-1161,Advertising Analyst,Analyste publicitaire
13-1161,Market Research Specialist,Spécialiste en études de marché
13-1161,Marketing Consultant,Marketing Consultant
13-1161,Marketing Forecaster,Prévisionniste marketing
13-1161,Search Marketing Strategist,Stratège en marketing de recherche
13-1199,Mystery Shopper,Client mystère
13-1199,Ship Purser,Commissaire de bord
13-2011,Certified Public Accountant,Expert-comptable agréé
13-2011,Field Auditor,Auditeur de terrain
